"waybill_code"|"create_time"|"id_status"|"courier_id"
JXEC18441113|"20230724023218"|4|C002
JXEC61376151|"20230730190532"|1|C006
JXEC74489027|"20230706161324"|1|C003
JXFD45428192|"20230704071951"|5|C009
JXFD45635515|"20230724025049"|3|C002
JXFD46216679|"20230706204050"|2|C010
JXFD53614139|"20230719032814"|1|C009
JXFD61826475|"20230710195238"|2|C004
JXFD63236838|"20230726081421"|4|C001
JXFD99492196|"20230713131340"|4|C008
JXPOP00839384|"20230708114758"|5|C003
JXPOP22164350|"20230725132555"|1|C008
JXPOP61622454|"20230705200641"|4|C008
JXPOP69627422|"20230730221944"|5|C009
JXEC23582677|"20230722160653"|4|C001
JXEC12336999|"20230722202653"|3|C001
JXEC60690480|"20230710224728"|4|C003
JXPOP82419962|"20230703021125"|3|C008
JXFD01048601|"20230729073914"|4|C004
JXFD04983190|"20230705071245"|4|C008
JXFD77189541|"20230711081507"|1|C002
JXFD88846362|"20230704115545"|2|C001
JXPOP31222390|"20230707205630"|3|C008
JXEC88528214|"20230711194912"|1|C010
JXEC29507093|"20230718161115"|5|C009
JXPOP34728662|"20230703104620"|5|C003
JXEC53837612|"20230730063359"|5|C001
JXFD91442366|"20230703125730"|1|C007
JXEC48129476|"20230720131551"|1|C003
JXFD28084973|"20230712032340"|3|C007
JXEC27235935|"20230706023951"|3|C007
JXPOP26152552|"20230726130704"|2|C009
JXEC15787859|"20230729213404"|4|C006
JXEC31015661|"20230728170817"|2|C005
JXFD51628117|"20230729150935"|3|C009
JXEC69003475|"20230704041434"|2|C001
JXFD94663752|"20230715193648"|5|C009
JXPOP21770165|"20230706000204"|3|C003
JXEC79966847|"20230710060952"|3|C001
JXEC43641688|"20230731005651"|2|C009
JXPOP25136486|"20230707013914"|2|C004
JXEC91619287|"20230727140610"|1|C003
JXPOP35282954|"20230704211243"|3|C004
JXEC44899926|"20230716144329"|1|C007
JXPOP17937344|"20230715121436"|1|C004
JXFD19533173|"20230717155019"|3|C004
JXEC73215298|"20230724142219"|3|C004
JXPOP99749966|"20230714194507"|5|C004
JXPOP23145010|"20230731224318"|2|C003
JXFD79369465|"20230703045834"|4|C008
JXEC73214381|"20230708001348"|4|C008
JXEC90838969|"20230701032223"|5|C008
JXPOP13966317|"20230711025918"|1|C004
JXPOP22592032|"20230703214909"|4|C002
JXEC65426127|"20230704045219"|4|C006
JXEC17397650|"20230707183029"|2|C001
JXFD14005484|"20230703051808"|3|C006
JXPOP01770491|"20230728170322"|5|C009
JXFD85350112|"20230708215711"|5|C008
JXPOP98623004|"20230710011955"|2|C001
JXFD36502653|"20230716104517"|3|C009
JXFD50954019|"20230725221343"|5|C007
JXPOP63255323|"20230724103602"|3|C008
JXPOP19606415|"20230724032014"|5|C009
JXEC66683074|"20230701172115"|2|C007
JXFD64231635|"20230712235229"|1|C004
JXEC00777896|"20230717025300"|3|C008
JXFD92218621|"20230714014225"|3|C010
JXFD46910603|"20230705215017"|4|C002
JXPOP95581020|"20230727183912"|4|C001
JXFD62824082|"20230702032525"|3|C002
JXFD07560323|"20230707152406"|4|C004
JXFD45505218|"20230704071206"|2|C007
