"waybill_code"|"create_time"|"id_warehouse"|"id_cat"|"id_payment_type"|"id_card"|"id_customer"|"weight"|"fee"|"province_code"|"city_code"|"district_code"
JXPOP01655171|"20230707014338"|1|2|3|1|19|33|33693|32|3271|327101
JXEC12336999|"20230706033920"|4|4|1||6|35|26790|32|3271|327102
JXEC60690480|"20230702063004"|3|2|3|2|11|3|15935|32|3271|327103
JXPOP82419962|"20230711034056"|3|1|2|2|7|21|26759|32|3271|327104
JXFD13415800|"20230708131133"|2|3|2|2|13|96|83014|32|3271|327105
JXFD04983190|"20230720041212"|5|1|1||19|56|91200|32|3236|323601
JXFD77189541|"20230704220657"|3|4|1||12|43|55903|32|3236|323602
JXPOP01536555|"20230716174033"|1|2|1||12|80|84129|32|3236|323603
JXPOP31222390|"20230721225834"|4|3|1||7|14|59192|32|3236|323604
JXEC88528214|"20230711201505"|5|2|3|2|12|50|39079|32|3236|323605
JXEC29507093|"20230724154031"|4|3|3|2|18|16|36950|33|3371|337101
JXEC53582486|"20230719104804"|5|3|3|2|14|9|23108|33|3371|337102
JXEC53837612|"20230711215108"|4|2|3|1|8|69|96706|33|3371|337103
JXFD91442366|"20230727190853"|5|4|2|1|16|66|99335|33|3371|337104
JXFD64870367|"20230706130751"|1|4|2|2|3|84|89045|33|3371|337105
JXFD28084973|"20230730224320"|1|4|3|1|16|15|32910|33|3372|337201
JXEC27235935|"20230710224843"|4|3|3|1|7|31|39397|33|3372|337202
JXPOP26152552|"20230721164223"|3|4|3|2|4|4|12755|33|3372|337203
JXEC15787859|"20230726061013"|3|3|1||8|49|58815|33|3372|337204
JXEC31015661|"20230731070244"|1|5|1||18|62|76376|33|3372|337205
JXFD51628117|"20230713091900"|3|5|2|2|10|79|79584|34|3471|347101
JXEC69003475|"20230706212125"|4|3|1||14|80|76414|34|3471|347102
JXFD94663752|"20230717041659"|4|1|1||6|82|99679|34|3471|347103
JXPOP21770165|"20230721095540"|4|5|2|2|16|81|94419|34|3471|347104
JXEC79966847|"20230731190230"|1|3|3|1|6|37|45455|34|3471|347105
JXEC43641688|"20230710205554"|2|5|3|2|4|54|92243|34|3475|347501
JXPOP25136486|"20230726095711"|1|3|2|2|8|65|86339|34|3475|347502
JXEC91619287|"20230705065424"|2|2|1||16|3|16913|34|3475|347503
JXPOP35282954|"20230711170642"|5|1|1||16|25|28893|34|3475|347504
JXEC44899926|"20230715222801"|4|2|3|2|5|43|60179|34|3475|347505
JXPOP17937344|"20230714164151"|2|3|2|2|1|52|71116|36|3601|360101
JXFD19533173|"20230716101232"|2|1|1||17|45|30914|36|3601|360102
JXEC73215298|"20230706055547"|4|3|3|1|2|4|16530|36|3601|360103
JXPOP99749966|"20230727194521"|4|1|3|2|8|99|77718|36|3601|360104
JXPOP23145010|"20230721040500"|4|4|2|1|14|53|88317|36|3601|360105
JXFD79369465|"20230728000808"|4|5|1||7|59|71984|36|3604|360401
JXEC73214381|"20230715000158"|1|4|3|2|2|75|87988|36|3604|360402
JXEC90838969|"20230710000618"|5|1|2|1|5|36|49424|36|3604|360403
JXPOP13966317|"20230705113725"|2|1|2|2|3|71|73965|36|3604|360404
JXPOP22592032|"20230711104005"|1|1|1||20|38|60108|36|3604|360405
JXEC65426127|"20230702003525"|4|4|1||9|96|93605|36|3671|367101
JXEC17397650|"20230731050306"|4|4|2|2|12|91|83263|36|3671|367102
JXFD14005484|"20230712154210"|3|1|3|1|15|27|29637|36|3671|367103
JXPOP01770491|"20230721020943"|1|1|2|2|2|8|10839|36|3671|367104
JXFD85350112|"20230729182409"|4|5|3|1|18|29|58818|36|3671|367105
JXPOP98623004|"20230726000420"|1|4|1||10|76|78856|36|3674|367401
JXFD36502653|"20230711203130"|1|1|3|2|12|58|81439|36|3674|367402
JXFD50954019|"20230731060318"|5|2|3|1|2|26|36270|36|3674|367403
JXPOP63255323|"20230725044721"|2|1|1||4|55|98270|36|3674|367404
JXPOP19606415|"20230705231229"|1|2|3|1|4|52|94822|36|3674|367405
JXEC66683074|"20230726225628"|2|4|1||2|90|83955|36|3675|367501
JXFD64231635|"20230707025551"|3|1|3|1|14|29|60344|36|3675|367502
JXEC00777896|"20230709221647"|3|4|2|2|7|55|96304|36|3675|367503
JXFD92218621|"20230709051106"|1|4|2|2|10|49|62906|36|3675|367504
JXFD46910603|"20230720202414"|4|2|2|2|14|84|94105|36|3675|367505
JXPOP95581020|"20230715191357"|1|3|3|2|14|12|63915|36|3673|367301
JXFD62824082|"20230703115918"|4|3|3|1|17|60|97099|36|3673|367302
JXFD07560323|"20230725070623"|3|2|3|2|13|97|73328|36|3673|367303
JXFD45505218|"20230704100726"|4|1|3|2|6|55|84922|36|3673|367304
JXPOP02057758|"20230711021256"|2|3|2|1|17|55|83002|36|3673|367305
JXPOP37054839|"20230710055752"|1|5|2|2|5|58|94651|35|3571|357101
JXEC79286161|"20230726042114"|1|3|2|1|17|64|99892|35|3571|357102
JXFD00246154|"20230703181922"|4|3|1||10|9|19082|35|3571|357103
JXPOP24448841|"20230703234348"|3|2|2|2|18|70|93615|35|3571|357104
JXPOP82932175|"20230722234746"|3|1|3|2|15|61|81702|35|3571|357105
JXEC61686902|"20230725173331"|2|3|3|2|10|49|53057|32|3271|327101
JXFD67009092|"20230721183858"|1|2|2|1|12|37|39465|32|3271|327102
JXEC81537504|"20230720100044"|2|3|2|2|20|30|45604|32|3271|327103
JXFD25145604|"20230719190955"|1|2|3|1|1|85|79787|32|3271|327104
JXEC88050555|"20230715102715"|5|2|3|1|3|82|84643|32|3271|327105
JXEC88015195|"20230717193812"|1|3|1||12|16|51863|32|3236|323601
JXFD19211135|"20230718104337"|5|1|2|1|18|18|36928|32|3236|323602
JXEC50138199|"20230724052811"|4|5|3|2|17|32|61764|32|3236|323603
JXPOP32804156|"20230726011141"|5|2|3|2|6|62|99788|32|3236|323604
JXEC01659914|"20230717150220"|4|5|1||14|51|96021|32|3236|323605
JXEC97489209|"20230723054423"|5|1|1||19|17|27363|33|3371|337101
JXPOP16457397|"20230708052349"|4|2|3|2|16|49|54706|33|3371|337102
JXPOP80652732|"20230711001622"|1|3|1||13|50|47980|33|3371|337103
JXEC20297993|"20230704210821"|4|4|2|2|16|88|72697|33|3371|337104
JXEC80190941|"20230715094954"|1|5|2|2|7|13|29421|33|3371|337105
JXFD89834951|"20230705150730"|2|3|1||20|53|76891|33|3372|337201
JXPOP41636083|"20230711142139"|5|3|2|1|15|74|70597|33|3372|337202
JXEC83527047|"20230727015235"|2|2|1||19|88|80145|33|3372|337203
JXEC73904646|"20230722083235"|3|3|3|2|2|97|80264|33|3372|337204
JXEC07857595|"20230714215957"|1|3|2|1|2|60|73671|33|3372|337205
JXFD76696738|"20230719210205"|4|4|3|1|14|25|26048|34|3471|347101
JXPOP68084303|"20230727211647"|1|1|1||17|29|41563|34|3471|347102
JXFD40718050|"20230712212731"|4|5|3|2|4|56|81192|34|3471|347103
